Symbol,Fund Name,Asset Class,Assets,Stock Price,% Change,Volume,Holdings,Open,Low,High,Close,Premkt. Price,Premkt. Chg%,Premkt. Close,Afterhr. Price,Afterhr. Chg%,Afterhr. Close,Category,52W Low,52W High,Avg. Volume,Rel. Volume,Gap (%),Chg. Open (%),Exp. Ratio,Issuer,Index,Inception,PE Ratio,Beta (5Y),RSI,RSI (W),RSI (M),ATR,Div. ($),Last Div.,Div. Yield,Div. Growth,Years,Payout Ratio,Payout Freq.,Ex-Div Date,Payment Date,Exchange,Region,Country,Leverage,Options,Shares,Change 1M,Change 3M,Change 6M,Change YTD,Change 1Y,Change 3Y,Change 5Y,Change 10Y,Change 15Y,Change 20Y,Return 1M,Return 3M,Return 6M,Return YTD,Return 1Y,Return 3Y,Return 5Y,Return 10Y,Return 15Y,Return 20Y,CAGR 1Y,CAGR 3Y,CAGR 5Y,CAGR 10Y,CAGR 15Y,CAGR 20Y,52W Low Chg,52W High Chg,ATH,ATH Chg (%),ATH Date,ATL,ATL Chg (%),ATL Date,Tags,50 MA,200 MA,20 MA,150 MA,20MA Chg %,50MA Chg %,150MA Chg %,200MA Chg %,CUSIP Number,ISIN Number
USAI,Pacer American Energy Independence ETF,Equity,88498500,43.03,-1.72%,44356,29,43.94,43.03,43.94,43.78,,,,,,,Energy Limited Partnership,28.21,43.98,19127,231.90%,0.37%,-2.07%,0.75%,Pacer,American Energy Independence Index,2017-12-13,19.64,1.39,66.25,72.41,76.85,0.66,1.44,0.12,3.35%,,,65.73%,Monthly,2024-12-27,,NYSEARCA,North America,United States,Long,Yes,2050000,10.25%,16.96%,24.69%,8.17%,51.71%,75.47%,84.22%,,,,10.59%,18.03%,27.17%,8.17%,58.36%,103.70%,148.57%,,,,58.21%,26.76%,19.97%,,,,52.54%,-2.16%,43.98,-2.16%,2025-01-21,8.25,421.58%,2020-03-19,,40.54,35.42,40.96,36.62,5.05%,6.13%,17.50%,21.49%,69374H634,US69374H6348
CGGE,Capital Group Global Equity ETF,Equity,88423390,26.51,0.30%,8711,123,26.56,26.47,26.56,26.43,,,,,,,Global Large-Stock Blend,24.16,27.27,29746,29.28%,0.49%,-0.21%,0.47%,Capital Group,,2024-06-25,26.05,,65.81,57.61,,0.26,0.09,0.09,0.34%,,1,,,2024-12-26,,NYSEARCA,Global,,Long,No,3364000,3.39%,0.49%,5.56%,4.05%,,,,,,,3.74%,0.84%,5.92%,4.05%,,,,,,,,,,,,,9.71%,-2.80%,27.27,-2.68%,2024-09-26,24.16,9.85%,2024-08-05,,26.02,,25.77,,2.97%,2.01%,,,14020R107,US14020R1077
BNO,United States Brent Oil Fund LP,Commodity,88209000,31.97,-0.65%,400411,3,32.04,31.94,32.25,32.18,32.10,-0.25%,32.18,,,,Commodities Focused,26.77,33.91,351063,114.06%,-0.44%,-0.22%,1.00%,Marygold,Front Month Brent Crude Oil,2010-06-02,,0.81,59.27,57.25,58.31,0.61,,,,,,,,,,NYSEARCA,North America,United States,Long,Yes,2700000,9.19%,9.15%,1.78%,6.74%,13.85%,36.04%,56.26%,70.51%,,,9.19%,9.15%,1.78%,6.74%,13.85%,36.04%,56.26%,70.51%,,,13.82%,10.80%,9.33%,5.48%,,,19.43%,-5.72%,46.68,-31.51%,2014-06-19,5.91,440.95%,2020-04-28,,29.91,30.47,31.08,30.17,2.87%,6.88%,5.98%,4.91%,91167Q100,US91167Q1004
IVVM,iShares Large Cap Moderate Buffer ETF,Equity,88168140,31.32,0.30%,4033,10,31.27,31.27,31.37,31.23,,,,,,,Defined Outcome,26.92,31.70,28003,14.40%,0.13%,0.17%,0.50%,BlackRock,,2023-06-28,27.72,,57.94,62.75,79.18,0.23,0.37,0.37,1.19%,,1,32.82%,,2024-12-30,,BATS,North America,United States,Long,No,2840000,0.58%,2.35%,7.68%,2.16%,16.67%,,,,,,1.20%,2.97%,8.35%,2.16%,17.38%,,,,,,17.34%,,,,,,16.36%,-1.18%,31.70,-1.18%,2024-11-06,24.48,27.99%,2023-10-27,,31.16,29.54,31.00,30.09,1.05%,0.52%,4.09%,6.03%,092528702,US0925287023
GOAU,U.S. Global GO GOLD and Precious Metal Miners ETF,Equity,88132000,20.42,-0.06%,13252,29,20.54,20.27,20.67,20.43,,,,,,,Equity Precious Metals,14.14,23.86,22481,58.95%,0.54%,-0.61%,0.60%,US Global Investors,US Glo. Go Gold and Precious Metals Min.(GR),2017-06-27,15.38,1.14,55.87,50.52,55.22,0.46,0.17,0.17,0.82%,-29.94%,,12.67%,Annual,2023-12-22,2023-12-27,NYSEARCA,North America,United States,Long,Yes,4400000,4.64%,-12.61%,-0.66%,7.76%,28.56%,14.98%,19.32%,,,,6.83%,-10.77%,1.43%,7.76%,31.25%,20.36%,27.47%,,,,31.18%,6.37%,4.97%,,,,44.38%,-14.44%,26.77,-23.74%,2020-08-05,8.96,127.85%,2020-03-16,,20.35,20.35,19.59,20.64,4.24%,0.33%,-1.11%,0.30%,26922A719,US26922A7191
ABEQ,Absolute Select Value ETF,Equity,87990250,32.43,-0.47%,2696,26,32.62,32.43,32.62,32.58,,,,,,,Large Value,28.25,33.35,3930,68.60%,0.12%,-0.58%,0.85%,Absolute,,2020-01-22,16.69,0.63,58.28,54.68,61.09,0.23,0.47,0.29,1.44%,-36.64%,,24.03%,Semi-Annual,2024-12-30,,NYSEARCA,North America,United States,Long,No,2725000,2.20%,-1.93%,4.65%,3.00%,14.55%,15.55%,,,,,3.14%,-1.03%,5.60%,3.00%,16.29%,21.85%,,,,,16.25%,6.81%,,,,,14.80%,-2.76%,33.35,-2.76%,2024-11-27,18.01,80.08%,2020-03-23,,32.32,31.51,31.83,31.97,1.88%,0.33%,1.45%,2.91%,90470L568,US90470L5681
COMB,GraniteShares Bloomberg Commodity Broad Strategy No K-1 ETF,Commodity,87440500,20.93,0.02%,42477,5,20.92,20.90,20.97,20.93,,,,,,,Commodities Broad Basket,18.86,21.59,35257,120.48%,-0.05%,0.05%,0.25%,GraniteShares,,2017-05-22,,0.43,64.70,58.63,46.35,0.18,0.49,0.49,2.36%,-56.36%,,,Annual,2024-12-27,,NYSEARCA,,,Long,Yes,4150000,3.82%,3.46%,6.01%,4.91%,9.35%,-22.88%,-11.84%,,,,6.41%,6.04%,8.65%,4.91%,12.08%,10.41%,46.28%,,,,12.06%,3.35%,7.90%,,,,10.98%,-3.06%,35.66,-41.31%,2022-06-08,17.14,22.11%,2020-03-18,,20.26,20.25,20.40,20.10,2.61%,3.31%,4.12%,3.35%,38747R108,US38747R1086
QPFF,American Century Quality Preferred ETF,Fixed Income,87375120,36.60,-0.27%,2135,137,36.64,36.60,36.76,36.70,,,,,,,Preferred Stock,35.32,41.49,15661,13.63%,-0.16%,-0.11%,0.33%,American Century Investments,,2021-02-16,,0.42,55.54,48.33,49.43,0.41,2.25,0.36,6.16%,5.87%,4,,Monthly,2024-12-17,,BATS,North America,United States,Long,Yes,2400000,1.08%,-3.50%,-0.49%,1.76%,1.16%,-8.94%,,,,,1.08%,-1.60%,2.99%,1.76%,7.53%,8.59%,,,,,7.51%,2.78%,,,,,3.62%,-11.79%,41.90,-12.65%,2021-09-03,32.91,11.23%,2023-10-20,,36.82,36.85,36.13,37.07,1.30%,-0.61%,-1.28%,-0.68%,025072539,US0250725399
RSBT,Return Stacked Bonds & Managed Futures ETF,Alternatives,87250420,17.13,1.12%,25205,21,17.00,17.00,17.15,16.94,16.96,0.12%,16.94,,,,Trading--Leveraged Debt,15.95,19.08,52085,48.39%,0.35%,0.76%,1.06%,Tidal,,2023-02-07,,,54.42,47.37,36.02,0.19,,0.41,,,1,,,,2023-12-29,BATS,,,2X Long,No,5150000,2.39%,-0.41%,-4.83%,2.27%,1.90%,,,,,,2.39%,-0.41%,-4.83%,2.27%,1.90%,,,,,,1.90%,,,,,,7.40%,-10.22%,21.54,-20.47%,2023-02-21,15.95,7.40%,2024-10-29,,16.91,17.68,16.97,17.52,0.94%,1.32%,-2.24%,-3.11%,88636J105,US88636J1051
FCLD,Fidelity Cloud Computing ETF,Equity,87160136,29.19,1.41%,35247,55,29.20,29.13,29.34,28.78,,,,,,,Technology,20.00,30.96,18691,198.48%,1.46%,-0.03%,0.40%,Fidelity,Fidelity Cloud Computing Index,2021-10-05,41.17,1.16,60.71,63.47,64.75,0.56,0.03,0.00,0.12%,-10.26%,,4.94%,Quarterly,2024-12-20,2024-12-24,BATS,Global,,Long,Yes,3100000,2.57%,15.16%,23.63%,6.24%,26.91%,35.96%,,,,,2.57%,15.17%,23.68%,6.24%,27.09%,36.76%,,,,,27.03%,11.00%,,,,,45.95%,-5.72%,30.96,-5.71%,2024-12-09,13.20,121.22%,2022-10-13,,28.49,25.04,28.01,25.45,4.20%,2.46%,14.68%,16.57%,316092246,US3160922460
IQQQ,ProShares Nasdaq-100 High Income ETF,Equity,86959430,44.06,1.45%,40103,104,43.92,43.89,44.17,43.43,,,,,,,Derivative Income,37.27,45.21,416591,9.64%,1.13%,0.32%,0.55%,ProShares,Nasdaq-100 Daily Covered Call Index,2024-03-18,35.14,,58.60,57.87,,0.67,3.10,0.16,7.05%,,1,243.89%,Monthly,2024-12-23,2024-12-31,NASDAQ,North America,United States,Long,No,2010001,1.64%,4.33%,4.61%,3.21%,,,,,,,2.02%,5.81%,10.09%,3.21%,,,,,,,,,,,,,18.22%,-2.54%,45.21,-2.54%,2024-12-16,37.27,18.22%,2024-08-05,"option-income, covered-calls",43.30,41.67,43.13,42.12,2.16%,1.76%,4.61%,5.73%,74347G234,US74347G2342
GSEU,Goldman Sachs ActiveBeta Europe Equity ETF,Equity,86803500,36.09,-0.25%,13313,374,36.23,36.09,36.26,36.18,,,,,,,Europe Stock,33.83,38.96,29316,45.41%,0.14%,-0.39%,0.25%,Goldman Sachs,Goldman Sachs ActiveBeta Europe Equity,2016-03-02,15.34,0.96,62.94,50.47,53.92,0.38,0.82,0.06,2.26%,-31.24%,,34.64%,Quarterly,2024-12-31,,NYSEARCA,Global,,Long,No,2450000,4.20%,-3.45%,-1.44%,4.13%,6.66%,0.42%,13.71%,,,,4.86%,-2.83%,-0.81%,4.13%,9.08%,10.02%,31.04%,,,,9.06%,3.23%,5.55%,,,,6.68%,-7.37%,38.96,-7.37%,2024-09-27,20.08,79.73%,2020-03-18,,35.40,36.60,34.96,36.58,3.23%,1.96%,-1.33%,-1.38%,381430305,US3814303059
LEGR,First Trust Indxx Innovative Transaction & Process ETF,Equity,86691096,48.26,0.37%,3781,109,48.21,48.10,48.30,48.08,,,,,,,Digital Assets,37.28,48.84,2429,161.28%,0.27%,0.10%,0.65%,First Trust,Indxx Blockchain Index,2018-01-24,14.44,0.95,64.82,61.10,67.58,0.48,1.11,0.22,2.30%,6.31%,4,33.34%,Quarterly,2024-12-13,,NASDAQ,,,Long,Yes,1850002,3.54%,2.62%,10.11%,4.01%,19.22%,12.92%,47.47%,,,,3.54%,3.09%,11.23%,4.01%,22.20%,22.13%,64.32%,,,,22.15%,6.89%,10.44%,,,,29.45%,-1.19%,48.84,-1.19%,2024-12-09,19.07,153.07%,2020-03-09,,47.03,45.05,46.83,45.73,3.06%,2.62%,5.53%,7.12%,33741X201,US33741X2018
IFGL,iShares International Developed Real Estate ETF,Equity,86571900,19.34,-1.18%,13658,283,19.44,19.34,19.44,19.57,,,,,,,Global Real Estate,18.63,23.18,32600,41.90%,-0.66%,-0.51%,0.54%,BlackRock,FTSE EPRA Nareit Developed x US,2007-11-12,18.11,0.95,47.82,38.97,42.65,0.23,0.93,0.21,4.82%,,1,87.32%,Quarterly,2024-12-17,,NASDAQ,Global,,Long,Yes,4500000,1.05%,-10.50%,-6.97%,0.21%,-6.30%,-29.26%,-36.32%,-38.01%,-31.03%,,1.05%,-9.53%,-5.09%,0.21%,-1.96%,-22.50%,-26.07%,-5.45%,44.30%,,-1.96%,-8.15%,-5.86%,-0.56%,2.48%,,3.81%,-16.57%,50.44,-61.66%,2008-02-04,14.59,32.56%,2009-03-09,,19.78,20.82,19.23,20.85,0.57%,-2.22%,-7.24%,-7.10%,464288489,US4642884898
SWP,SWP Growth & Income ETF,Equity,86398880,26.07,1.20%,23900,0,25.98,25.98,26.11,25.76,,,,,,,Large Blend,24.75,26.72,15070,153.23%,0.85%,0.35%,0.99%,SWP,,2024-09-25,26.30,,64.36,58.08,,0.24,0.11,0.11,0.43%,,1,11.33%,,2024-12-17,,NASDAQ,North America,United States,Long,No,3380000,3.22%,2.12%,,3.58%,,,,,,,3.22%,2.55%,,3.58%,,,,,,,,,,,,,5.33%,-2.43%,26.72,-2.43%,2024-11-12,24.75,5.33%,2025-01-13,,25.77,,25.39,,2.69%,1.18%,,,56170L612,US56170L6121
SQY,YieldMax SQ Option Income Strategy ETF,Equity,86315150,17.56,-2.17%,64598,18,18.06,17.56,18.09,17.95,18.28,1.83%,17.95,,,,Derivative Income,16.19,25.51,111181,58.84%,0.61%,-2.77%,1.01%,YieldMax,,2023-10-10,,,39.83,42.89,47.34,0.60,10.35,0.63,58.93%,,2,,Monthly,2025-01-16,,NYSEARCA,North America,United States,Long,Yes,4900000,-6.35%,-7.92%,-10.13%,-3.09%,-15.97%,,,,,,-2.99%,13.14%,23.38%,0.38%,42.57%,,,,,,42.46%,,,,,,8.46%,-31.16%,26.70,-34.23%,2023-12-29,16.19,8.46%,2024-08-05,"option-income, covered-calls",19.47,19.38,18.36,18.76,-4.36%,-9.79%,-6.42%,-9.40%,88634T766,US88634T7660
JGRW,Jensen Quality Growth ETF,Equity,86289720,26.54,0.42%,9043,0,26.59,26.52,26.64,26.43,,,,,,,Large Blend,25.31,27.20,40600,22.42%,0.61%,-0.19%,0.57%,Jensen,,2024-08-13,33.62,,58.46,55.90,,0.26,0.06,0.04,0.24%,,1,7.92%,Quarterly,2024-12-19,2024-12-20,NYSEARCA,North America,United States,Long,No,3300000,0.95%,0.22%,,2.45%,,,,,,,0.95%,0.37%,,2.45%,,,,,,,,,,,,,4.86%,-2.43%,27.20,-2.43%,2024-11-11,25.31,4.86%,2024-08-13,,26.48,,26.08,,1.78%,0.25%,,,89834G562,US89834G5624
FITE,SPDR S&P Kensho Future Security ETF,Equity,85986660,70.68,-0.11%,4879,67,71.19,70.51,71.19,70.76,,,,,,,Technology,53.25,71.19,11251,43.51%,0.61%,-0.71%,0.45%,State Street,S&P Kensho Future Security,2017-12-26,31.72,0.97,64.36,67.93,74.01,1.15,0.08,0.01,0.11%,6.94%,2,3.46%,Quarterly,2024-12-23,,NYSEARCA,North America,United States,Long,Yes,1260000,5.41%,11.05%,23.69%,5.53%,28.69%,47.48%,69.38%,,,,5.42%,11.06%,23.75%,5.53%,28.86%,48.05%,74.11%,,,,28.79%,13.97%,11.72%,,,,32.74%,-0.71%,71.19,-0.71%,2025-01-22,24.47,188.86%,2020-03-18,,67.68,60.48,67.95,62.21,4.02%,4.44%,13.62%,16.88%,78468R671,US78468R6716
GPRF,Goldman Sachs Access U.S. Preferred Stock and Hybrid Securities ETF,Fixed Income,85935000,50.76,-0.03%,164,391,50.69,50.69,50.76,50.77,,,,,,,Preferred Stock,49.84,53.26,2081389,0.01%,-0.16%,0.13%,0.45%,Goldman Sachs,FTSE Goldman Sachs US Preferred Stock and Hybrids Index,2024-07-30,,,51.67,53.40,,0.17,1.06,0.42,2.08%,,1,,Monthly,2024-12-31,,NASDAQ,North America,United States,Long,No,1700000,-0.20%,-2.49%,,0.85%,,,,,,,0.64%,-0.87%,,0.85%,,,,,,,,,,,,,1.84%,-4.70%,53.26,-4.70%,2024-08-26,49.84,1.84%,2024-08-05,,51.06,,50.53,,0.45%,-0.59%,,,38149W127,US38149W1273
RISN,Inspire Tactical Balanced ETF,Asset Allocation,85888000,27.24,0.17%,3844,27,27.29,27.23,27.30,27.20,,,,,,,Moderately Aggressive Allocation,24.71,28.54,17268,21.70%,0.33%,-0.18%,0.79%,Inspire,,2020-07-15,19.00,0.50,59.84,53.76,57.69,0.27,0.37,0.13,1.35%,-28.03%,,25.67%,Quarterly,2024-12-16,,NYSEARCA,North America,United States,Long,No,3200000,2.28%,0.76%,4.05%,2.94%,10.26%,5.76%,,,,,2.28%,1.24%,4.93%,2.94%,11.78%,10.99%,,,,,11.76%,3.54%,,,,,10.24%,-4.55%,31.49,-13.50%,2021-11-09,21.68,25.65%,2023-10-27,,27.34,26.54,26.56,26.76,2.57%,-0.35%,1.78%,2.65%,66538H393,US66538H3930
CSD,Invesco S&P Spin-Off ETF,Equity,85797120,91.42,0.11%,2080,31,91.60,91.42,91.79,91.31,,,,91.47,0.06%,91.42,Mid-Cap Blend,62.13,93.60,3159,65.84%,0.32%,-0.20%,0.64%,Invesco,S&P U.S. Spin-Off Index,2006-12-15,22.99,1.35,72.11,68.60,70.80,1.33,0.14,0.14,0.15%,-58.73%,,3.44%,Annual,2024-12-23,,NYSEARCA,North America,United States,Long,Yes,970000,9.68%,10.65%,26.21%,11.27%,46.68%,56.22%,82.90%,104.33%,379.62%,,9.86%,10.83%,26.42%,11.27%,46.92%,58.67%,89.09%,126.17%,447.13%,,46.81%,16.63%,13.58%,8.50%,12.00%,,47.14%,-2.33%,93.60,-2.33%,2024-11-29,8.55,969.18%,2009-03-10,,86.14,76.89,85.64,79.09,6.75%,6.12%,15.59%,18.89%,46137V159,US46137V1594
BAMV,Brookstone Value Stock ETF,Equity,85585500,31.45,-0.47%,15165,31,31.58,31.45,31.58,31.60,,,,,,,Large Value,28.65,33.26,10445,147.46%,-0.06%,-0.41%,0.95%,Brookstone,,2023-09-27,20.90,,54.20,52.77,71.69,0.28,1.12,0.77,3.55%,,2,74.28%,Quarterly,2024-12-27,,BATS,North America,United States,Long,No,2730000,0.13%,-2.57%,5.29%,3.08%,11.99%,,,,,,2.62%,0.17%,8.59%,3.08%,16.08%,,,,,,16.05%,,,,,,9.77%,-5.44%,33.26,-5.44%,2024-11-25,23.97,31.21%,2023-10-27,,31.85,30.60,30.91,31.00,1.76%,-1.25%,1.46%,2.77%,66537J705,US66537J7054
ECON,Columbia Research Enhanced Emerging Economies ETF,Equity,85485000,21.06,0.03%,7613,213,21.08,21.06,21.13,21.05,,,,,,,Diversified Emerging Mkts,19.55,23.13,15737,48.38%,0.14%,-0.09%,0.49%,Columbia Threadneedle,Beta Advantage Research Enhanced Solactive Emerging Economies Index,2010-09-14,14.11,0.48,53.56,48.04,49.37,0.20,0.16,0.16,0.75%,-52.13%,,10.48%,Annual,2024-12-18,,NYSEARCA,Global,,Long,Yes,4100000,0.53%,-5.21%,0.87%,1.51%,5.38%,-11.76%,-12.42%,-19.33%,,,0.53%,-4.49%,1.63%,1.51%,6.18%,-7.82%,-6.90%,-9.98%,,,6.16%,-2.68%,-1.42%,-1.05%,,,7.73%,-8.94%,32.40,-34.99%,2021-02-16,17.12,23.03%,2022-10-24,,21.16,21.25,20.81,21.36,1.20%,-0.48%,-1.38%,-0.87%,19762B509,US19762B5093
TSMX,Direxion Daily TSM Bull 2X Shares,Equity,85185336,37.07,3.90%,981641,8,36.80,35.87,37.79,35.68,36.68,2.80%,35.68,36.92,-0.40%,37.07,Trading--Leveraged Equity,24.63,37.79,711746,137.92%,3.14%,0.73%,0.97%,Direxion,"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",2024-10-03,36.14,,63.30,65.94,,2.26,0.16,0.16,0.42%,,1,14.17%,,2024-12-23,2024-12-31,NASDAQ,,,2X Long,No,2925000,24.23%,14.55%,,25.07%,,,,,,,24.82%,15.10%,,25.07%,,,,,,,,,,,,,50.51%,-1.91%,37.82,-1.98%,2025-01-22,24.63,50.51%,2024-11-27,,30.43,,32.49,,14.09%,21.83%,,,25461A544,US25461A5442
FLJH,Franklin FTSE Japan Hedged ETF,Equity,85036000,31.17,0.48%,8171,492,31.17,31.17,31.31,31.02,,,,,,,Japan Stock,25.00,33.36,39572,20.67%,0.48%,,0.09%,Franklin Templeton,FTSE Japan RIC Capped Hedged to USD Net Tax Index,2017-11-02,15.13,0.55,50.77,51.36,53.56,0.37,1.59,0.83,5.09%,-76.33%,,77.01%,Semi-Annual,2024-12-20,,NYSEARCA,Global,Japan,Long,Yes,2800000,1.56%,0.97%,-2.84%,-0.54%,10.65%,3.48%,20.34%,,,,1.56%,3.71%,-0.20%,-0.54%,16.45%,73.35%,104.25%,,,,16.42%,20.12%,15.35%,,,,24.68%,-6.56%,33.36,-6.56%,2024-07-10,17.95,73.65%,2020-03-16,,31.37,30.98,31.06,30.88,0.37%,-0.62%,0.93%,0.62%,35473P637,US35473P6372
MBSD,FlexShares Disciplined Duration MBS Index Fund,Fixed Income,85028600,20.27,-0.20%,7905,468,20.26,20.26,20.28,20.31,,,,,,,Intermediate Government,19.90,21.24,29536,26.76%,-0.25%,0.05%,0.20%,FlexShares,ICE BofA Constrained Duration US Mortgage Backed Securities,2014-09-04,,0.15,50.95,44.24,43.45,0.08,0.79,0.06,3.91%,13.47%,3,,Monthly,2024-12-20,,NYSEARCA,North America,United States,Long,No,4200001,0.10%,-1.55%,-0.93%,0.17%,-0.64%,-11.52%,-13.98%,-19.63%,,,0.10%,-0.34%,1.17%,0.17%,3.28%,-2.01%,0.28%,10.25%,,,3.27%,-0.67%,0.06%,0.98%,,,1.86%,-4.57%,29.08,-30.30%,2015-11-30,19.32,4.92%,2023-10-23,,20.35,20.47,20.19,20.58,0.38%,-0.41%,-1.51%,-0.99%,33939L779,US33939L7799
DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,Equity,85020240,41.94,0.17%,7619,4,42.05,41.94,42.13,41.87,,,,,,,Large Blend,34.31,42.52,1277,596.49%,0.43%,-0.26%,1.28%,AdvisorShares,,2019-12-26,28.95,0.95,61.96,61.02,65.20,0.37,0.58,0.58,1.38%,249.09%,1,39.83%,Annual,2023-12-26,2023-12-29,NASDAQ,Global,,Long,No,2055000,2.92%,5.09%,8.94%,4.46%,21.52%,28.24%,60.94%,,,,2.92%,5.09%,8.94%,4.46%,21.52%,31.10%,67.19%,,,,21.47%,9.45%,10.82%,,,,22.24%,-1.36%,42.52,-1.36%,2024-12-06,18.96,121.20%,2020-03-23,,41.22,38.83,40.77,39.51,2.86%,1.74%,6.14%,8.02%,00768Y479,US00768Y4796
FDLS,Inspire Fidelis Multi Factor ETF,Equity,84311500,31.61,0.02%,13118,101,31.72,31.57,31.72,31.60,,,,,,,Mid-Cap Blend,28.23,34.39,41472,31.66%,0.38%,-0.35%,0.76%,Inspire,"WI Fidelis Multi-Cap, Multi-Factor Index",2022-08-23,16.27,1.17,59.57,52.13,56.21,0.43,2.14,1.91,6.76%,654.68%,3,110.11%,Quarterly,2024-12-16,,NYSEARCA,North America,United States,Long,No,2725000,7.19%,-0.05%,3.04%,7.31%,10.33%,,,,,,7.19%,6.10%,9.66%,7.31%,18.02%,,,,,,17.98%,,,,,,11.97%,-8.08%,34.39,-8.08%,2024-11-25,21.61,46.27%,2022-09-26,,31.86,30.77,30.17,31.08,4.78%,-0.78%,1.71%,2.74%,66538H187,US66538H1876
OILK,ProShares K-1 Free Crude Oil ETF of Benef Interest,Commodity,84216136,46.05,-0.50%,38336,4,46.11,45.99,46.35,46.28,,,,,,,Commodities Focused,40.21,50.39,31205,122.85%,-0.37%,-0.13%,0.69%,ProShares,Bloomberg Commodity Balanced WTI Crude Oil Index,2016-09-26,,0.76,60.02,54.99,49.57,0.70,1.37,0.20,2.98%,,,,Monthly,2024-12-23,,BATS,,,Long,Yes,1809034,6.99%,6.72%,-1.58%,4.26%,6.97%,1.88%,-56.37%,,,,7.48%,7.75%,-0.03%,4.26%,10.32%,28.13%,-5.04%,,,,10.30%,8.61%,-1.03%,,,,14.52%,-8.61%,144.10,-68.04%,2018-10-03,22.01,109.22%,2020-04-28,,43.80,45.30,45.01,44.67,2.31%,5.15%,3.10%,1.66%,74347G804,US74347G8042
AINP,Allspring Income Plus ETF,Fixed Income,84056570,24.90,0.44%,4600,0,24.85,24.85,24.90,24.79,,,,,,,,24.50,25.13,120213,3.82%,0.24%,0.19%,0.35%,Allspring,,2024-12-04,,,51.34,,,0.06,0.12,0.12,0.47%,,1,,,2024-12-27,,NYSEARCA,,,Long,No,1800000,0.44%,,,0.86%,,,,,,,0.91%,,,0.86%,,,,,,,,,,,,,1.62%,-0.92%,25.13,-0.92%,2024-12-05,24.50,1.62%,2025-01-14,,,,24.73,,0.70%,,,,01989A100,US01989A1007
IFED,"ETRACS IFED Invest with the Fed TR Index ETN due September 15, 2061",Equity,83948400,43.18,1.54%,305,0,43.18,43.18,43.18,42.52,,,,,,,Large Blend,33.60,49.70,23690,1.29%,1.55%,-0.01%,0.45%,ETRACS,IFED Large-Cap US Equity Index,2021-09-14,,,64.00,62.28,72.03,0.59,,,,,,,,,,NYSEARCA,North America,United States,Long,No,,5.61%,9.42%,16.15%,7.14%,29.59%,59.85%,,,,,5.61%,9.42%,16.15%,7.14%,29.59%,59.85%,,,,,29.52%,16.92%,,,,,28.50%,-13.13%,49.70,-13.13%,2024-07-25,24.15,78.78%,2021-09-20,,41.68,38.47,41.11,39.13,5.03%,3.60%,10.34%,12.24%,90278V768,US90278V7689
THLV,THOR Equal Weight Low Volatility ETF,Equity,83893380,27.67,0.46%,10513,3,27.54,27.54,27.68,27.54,,,,,,,Large Blend,25.08,29.77,18539,56.71%,,0.46%,0.64%,THOR,Thor Low Volatility Index,2022-09-12,24.40,0.88,46.79,46.94,58.51,0.20,0.35,0.35,1.25%,-50.07%,,30.43%,Annual,2024-12-12,,NYSE,North America,United States,Long,Yes,3054000,-0.01%,-3.82%,1.94%,0.57%,9.91%,,,,,,-0.01%,-2.66%,3.17%,0.57%,11.24%,,,,,,11.22%,,,,,,10.31%,-7.07%,29.77,-7.07%,2024-11-29,22.44,23.29%,2023-01-05,,28.44,27.73,27.54,28.08,0.45%,-2.70%,-1.47%,-0.24%,885155101,US8851551015
PY,Principal Value ETF,Equity,83876650,51.09,-0.38%,2607,105,51.23,51.09,51.25,51.28,,,,,,,Large Value,41.96,52.63,5159,50.53%,-0.10%,-0.28%,0.15%,Principal,,2016-03-21,18.91,1.10,58.99,58.34,62.47,0.47,1.10,0.26,2.15%,-5.48%,,40.64%,Quarterly,2024-12-27,,NASDAQ,Global,,Long,No,1650001,2.44%,1.51%,7.82%,3.17%,18.32%,19.49%,46.94%,,,,2.98%,2.05%,9.01%,3.17%,21.07%,29.78%,70.30%,,,,21.02%,9.07%,11.23%,,,,21.75%,-2.93%,52.63,-2.93%,2024-11-29,18.78,172.01%,2020-03-18,,50.81,48.07,49.97,49.03,2.23%,0.54%,4.20%,6.27%,74255Y300,US74255Y3009
SHOC,Strive U.S. Semiconductor ETF,Equity,83857570,50.35,1.59%,35427,32,50.39,50.31,50.86,49.56,50.00,0.89%,49.56,,,,Technology,38.88,54.67,27898,126.99%,1.67%,-0.08%,0.40%,Alpha Architect,Solactive United States Semiconductors 30 Capped Index,2022-10-06,41.05,1.62,59.41,55.92,70.29,1.15,0.16,0.04,0.32%,-36.86%,,13.21%,Quarterly,2024-12-30,,NYSE,North America,United States,Long,No,1720000,4.59%,8.75%,-4.66%,9.67%,30.67%,,,,,,4.69%,8.85%,-4.49%,9.67%,31.12%,,,,,,31.05%,,,,,,29.50%,-7.90%,54.67,-7.90%,2024-07-11,20.52,145.37%,2022-10-13,,46.62,46.44,46.96,47.04,7.22%,8.00%,7.03%,8.41%,02072L672,US02072L6728
